id,event,timestamp,location,traveled,station,queuing,charging
0,pick-up,2017-06-01 00:00:00.000000,7286,2500,,,
0,drop-off,2017-06-01 00:03:20.000000,6488,2750,,,
0,pick-up,2017-06-01 00:11:18.800000,6488,5250,,,
0,drop-off,2017-06-01 00:14:38.800000,7287,5500,,,
0,pick-up,2017-06-01 00:17:15.500000,7484,23695.0,,,
0,drop-off,2017-06-01 00:43:36.500000,7485,23945.0,,,
0,pick-up,2017-06-01 00:45:06.300000,8483,65214.0,,,
0,drop-off,2017-06-01 01:32:50.300000,9484,65464.0,,,
0,pick-up,2017-06-01 01:35:40.800000,9684,70547.0,,,
0,drop-off,2017-06-01 01:43:41.800000,8683,70797.0,,,
0,pick-up,2017-06-01 01:46:53.900000,10084,104933.0,,,
0,drop-off,2017-06-01 02:24:20.900000,11686,105183.0,,,
0,pick-up,2017-06-01 02:28:57.800000,11887,144270.0,,,
0,drop-off,2017-06-01 03:18:59.800000,12287,144520.0,,,
0,pick-up,2017-06-01 03:23:13.200000,11886,192117.0,,,
0,drop-off,2017-06-01 04:34:10.200000,12089,192367.0,,,
0,charging,2017-06-01 04:36:40.800000,12089,192367.0,75,0.0,5540.1696
0,pick-up,2017-06-01 06:09:00.969600,7485,7307.0,,,
0,drop-off,2017-06-01 06:19:26.969600,7888,7557.0,,,
0,pick-up,2017-06-01 06:22:44.669600,7887,16313.0,,,
0,drop-off,2017-06-01 06:37:27.669600,7485,16563.0,,,
0,pick-up,2017-06-01 06:39:15.669600,7484,24350.0,,,
0,drop-off,2017-06-01 06:54:03.669600,7485,24600.0,,,
0,pick-up,2017-06-01 06:55:33.469600,8483,65869.0,,,
0,drop-off,2017-06-01 07:43:17.469600,8882,66119.0,,,
0,pick-up,2017-06-01 07:45:20.369600,10084,102852.0,,,
0,drop-off,2017-06-01 08:34:59.369600,10286,103102.0,,,
0,pick-up,2017-06-01 08:37:27.369600,11284,132121.0,,,
0,drop-off,2017-06-01 09:22:20.369600,11883,132371.0,,,
0,pick-up,2017-06-01 09:27:04.869600,12283,149883.0,,,
0,drop-off,2017-06-01 09:53:30.869600,12482,150133.0,,,
0,charging,2017-06-01 09:55:34.669600,12482,150133.0,75,0.0,4323.8304
0,pick-up,2017-06-01 11:07:38.500000,7486,5565.0,,,
0,drop-off,2017-06-01 11:19:14.500000,7286,5815.0,,,
0,pick-up,2017-06-01 11:20:26.700000,7286,8315.0,,,
0,drop-off,2017-06-01 11:23:46.700000,6488,8565.0,,,
0,pick-up,2017-06-01 11:31:45.500000,6488,11065.0,,,
0,drop-off,2017-06-01 11:35:05.500000,7094,11315.0,,,
0,pick-up,2017-06-01 11:41:17.600000,6493,79056.0,,,
0,drop-off,2017-06-01 13:03:22.600000,7287,79306.0,,,
0,pick-up,2017-06-01 13:10:23.300000,7486,88391.0,,,
0,drop-off,2017-06-01 13:24:47.300000,7484,88641.0,,,
0,pick-up,2017-06-01 13:27:17.000000,7685,101802.0,,,
0,drop-off,2017-06-01 13:54:29.000000,7887,102052.0,,,
0,pick-up,2017-06-01 13:56:29.500000,7484,122460.0,,,
0,drop-off,2017-06-01 14:24:49.500000,7485,122710.0,,,
0,pick-up,2017-06-01 14:26:19.300000,7484,130497.0,,,
0,drop-off,2017-06-01 14:41:07.300000,7485,130747.0,,,
0,pick-up,2017-06-01 14:42:37.100000,7887,145219.0,,,
0,drop-off,2017-06-01 15:00:15.100000,7485,145469.0,,,
0,pick-up,2017-06-01 15:02:03.100000,7485,147969.0,,,
0,drop-off,2017-06-01 15:05:23.100000,7485,148219.0,,,
0,pick-up,2017-06-01 15:05:43.100000,8283,191607.0,,,
0,drop-off,2017-06-01 15:57:36.100000,7484,191857.0,,,
0,charging,2017-06-01 16:02:54.100000,7484,191857.0,75,0.0,5525.4816
0,pick-up,2017-06-01 17:34:59.581600,7286,2500,,,
0,drop-off,2017-06-01 17:38:19.581600,6488,2750,,,
0,pick-up,2017-06-01 17:46:18.381600,6488,5250,,,
0,drop-off,2017-06-01 17:49:38.381600,7287,5500,,,
0,pick-up,2017-06-01 17:52:15.081600,7486,14585.0,,,
0,drop-off,2017-06-01 18:06:39.081600,7485,14835.0,,,
0,pick-up,2017-06-01 18:07:50.081600,7484,22622.0,,,
0,drop-off,2017-06-01 18:22:38.081600,7887,22872.0,,,
0,pick-up,2017-06-01 18:25:19.181600,7485,37307.0,,,
